feature,mean_importance
Occipital_Mid_L <=> Parietal_Sup_R,-0.03871079734105305
Occipital_Sup_L <=> Temporal_Pole_Mid_L,-0.03439508490541281
Frontal_Med_Orb_L <=> Temporal_Inf_L,-0.031485331627163646
Postcentral_R <=> Vermis_8,-0.029444441611514938
Cuneus_L <=> Cerebelum_4_5_R,-0.027275724353969653
Rolandic_Oper_R <=> Postcentral_L,-0.02715269426377882
Olfactory_L <=> Thalamus_R,-0.022265112755793237
Precentral_R <=> Vermis_7,-0.02133263056908674
Precentral_R <=> Occipital_Sup_R,-0.01573131721215777
Supp_Motor_Area_L <=> Olfactory_L,-0.013131132347569307
Calcarine_L <=> Vermis_6,-0.011237391907274264
Temporal_Sup_L <=> Temporal_Mid_L,-0.011189244200985039
Lingual_L <=> Cerebelum_4_5_R,-0.011063654030369708
Frontal_Sup_R <=> Frontal_Mid_L,-0.010342814436499027
Cingulum_Ant_L <=> Postcentral_L,-0.010228460409498097
Frontal_Mid_Orb_R <=> Putamen_R,-0.009839120288429481
Cingulum_Post_L <=> Lingual_R,-0.008989662804336973
Frontal_Sup_Orb_R <=> Cerebelum_4_5_R,-0.008844469545456302
Cingulum_Mid_R <=> Cerebelum_Crus1_R,-0.007478913196806158
Frontal_Sup_Orb_L <=> Cerebelum_3_L,-0.007308958767533014
Cuneus_L <=> Cerebelum_10_R,-0.007047506244081303
Cingulum_Mid_L <=> Putamen_R,-0.006467080237965983
Precentral_L <=> Temporal_Pole_Mid_R,-0.006236322465215327
Precuneus_L <=> Pallidum_L,-0.006053703635905361
Heschl_L <=> Temporal_Pole_Mid_L,-0.005870399472909326
Frontal_Inf_Oper_L <=> Temporal_Inf_R,-0.0058364512197374594
Cuneus_L <=> Cuneus_R,-0.005639413330870391
Cingulum_Ant_L <=> Fusiform_L,-0.005436734843672797
SupraMarginal_R <=> Angular_R,-0.005323233509383596
Lingual_L <=> SupraMarginal_R,-0.005303276558293257
ParaHippocampal_R <=> Occipital_Mid_L,-0.0051243517541894375
Temporal_Pole_Sup_L <=> Cerebelum_7b_L,-0.004848107225323539
Supp_Motor_Area_R <=> Vermis_9,-0.004658625602703026
ParaHippocampal_L <=> Cerebelum_3_R,-0.004463593551041201
Supp_Motor_Area_L <=> Vermis_10,-0.004433871761083385
SupraMarginal_L <=> Cerebelum_4_5_L,-0.004417461332534911
Occipital_Inf_L <=> Heschl_R,-0.004173073919496418
Temporal_Mid_L <=> Vermis_3,-0.004046866638205171
ParaHippocampal_R <=> Cerebelum_Crus2_L,-0.004013680544340548
Frontal_Med_Orb_R <=> Pallidum_R,-0.004001865678331185
Cingulum_Ant_R <=> Cerebelum_Crus1_L,-0.003954636872208095
Precuneus_R <=> Vermis_6,-0.0038758786894983245
Frontal_Inf_Oper_R <=> Frontal_Med_Orb_R,-0.0038017146245656885
Frontal_Med_Orb_R <=> Heschl_L,-0.00360858292545716
Rolandic_Oper_R <=> Insula_L,-0.0034978320948601425
Cingulum_Mid_L <=> Temporal_Mid_L,-0.003474143156655907
