feature,mean_importance
Frontal_Sup_Medial_R <=> Vermis_8,-0.016612791025917284
Frontal_Inf_Tri_L <=> Vermis_8,-0.012907143918042374
Cuneus_R <=> Vermis_1_2,-0.012728766454538399
Olfactory_R <=> Cuneus_L,-0.011540121142959903
Frontal_Med_Orb_L <=> Occipital_Sup_R,-0.011373557431673564
Precuneus_R <=> Cerebelum_10_L,-0.010428969772150909
Temporal_Pole_Sup_L <=> Cerebelum_Crus1_R,-0.009788028762311819
Frontal_Sup_Orb_R <=> Occipital_Mid_L,-0.009680168324172244
Rolandic_Oper_L <=> Temporal_Sup_R,-0.007896709312871942
Lingual_L <=> Cerebelum_6_L,-0.007767982291252551
Hippocampus_L <=> Vermis_4_5,-0.006636760126714059
Precentral_R <=> Pallidum_R,-0.006578537418562513
Frontal_Sup_Medial_L <=> Cerebelum_8_L,-0.006502209271579229
Frontal_Med_Orb_R <=> Occipital_Sup_L,-0.006349522051085632
Precentral_R <=> Putamen_R,-0.006068384054838738
Parietal_Inf_R <=> Cerebelum_6_L,-0.005818714026673044
Frontal_Med_Orb_L <=> Temporal_Sup_L,-0.005816965494061632
Cuneus_R <=> Caudate_L,-0.005341845403819612
Insula_R <=> Cerebelum_Crus2_R,-0.004826661111756314
Putamen_L <=> Cerebelum_Crus1_L,-0.004470344955077055
Rolandic_Oper_L <=> Cerebelum_Crus1_R,-0.004371322749358075
Frontal_Sup_L <=> Cerebelum_3_L,-0.004249933904801084
Frontal_Sup_Medial_L <=> Temporal_Sup_L,-0.004226355887422128
Cerebelum_Crus1_L <=> Vermis_8,-0.004181358041188243
Cingulum_Mid_L <=> Cerebelum_3_R,-0.004178629020579416
Cingulum_Post_R <=> Occipital_Sup_L,-0.004012695489819284
Cingulum_Mid_L <=> Pallidum_R,-0.003985070451989969
Frontal_Sup_R <=> Postcentral_L,-0.0038500734523021496
Frontal_Sup_Medial_L <=> Cerebelum_9_L,-0.0038476196699863685
Olfactory_L <=> Temporal_Pole_Sup_R,-0.0038069205508081795
SupraMarginal_R <=> Caudate_L,-0.0038034827723645304
Lingual_R <=> Vermis_9,-0.003790857491527966
Cingulum_Mid_R <=> Precuneus_L,-0.0036118968407264696
Angular_L <=> Paracentral_Lobule_L,-0.003606662496771262
Calcarine_R <=> Occipital_Inf_L,-0.0032477398770256903
Cerebelum_10_L <=> Vermis_8,-0.003125505480680113
Cingulum_Mid_R <=> Precuneus_R,-0.00306732066307025
Angular_L <=> Cerebelum_3_R,-0.0030297395900268586
Rectus_R <=> Occipital_Sup_L,-0.003002923225289544
Cingulum_Ant_R <=> Cerebelum_Crus2_L,-0.0027231807580307076
Olfactory_R <=> Cerebelum_10_L,-0.00254266809108441
Parietal_Inf_R <=> Thalamus_R,-0.0025153383384133752
Cingulum_Ant_R <=> Vermis_3,-0.0024538532825267635
Temporal_Pole_Mid_R <=> Cerebelum_9_L,-0.0024137121183414488
Rectus_R <=> Cerebelum_Crus2_L,-0.0022576884964044196
Cingulum_Mid_L <=> Cingulum_Post_L,-0.0022426086075389316
Frontal_Sup_Medial_R <=> Temporal_Inf_L,-0.0022405530946140394
Parietal_Inf_R <=> Caudate_R,-0.002219856579928381
Fusiform_L <=> Cerebelum_4_5_R,-0.0021251059756350445
Thalamus_R <=> Cerebelum_Crus1_L,-0.001874785703156734
Frontal_Sup_Medial_L <=> Cerebelum_3_L,-0.0018156079296136162
Postcentral_L <=> Paracentral_Lobule_R,-0.0016817161642614042
Insula_L <=> Temporal_Mid_L,-0.0016069312712996275
Postcentral_L <=> Precuneus_R,-0.0014393647227387341
