feature,mean_importance
Cingulum_Mid_L <=> Temporal_Inf_L,-0.07276047836634944
Cingulum_Mid_L <=> Temporal_Mid_L,-0.04367692364025115
Frontal_Sup_Orb_R <=> Calcarine_R,-0.013758312991840094
Frontal_Sup_Medial_R <=> Amygdala_L,-0.012689426924552782
Parietal_Sup_R <=> Temporal_Sup_L,-0.011929508436102177
Precentral_L <=> Paracentral_Lobule_R,-0.009344363893864172
Caudate_L <=> Heschl_L,-0.008574192891375865
Frontal_Sup_Orb_R <=> Frontal_Inf_Orb_L,-0.006131723431908398
Paracentral_Lobule_R <=> Temporal_Inf_R,-0.0059269623616808875
Cingulum_Ant_L <=> Cerebelum_7b_R_ratio_Paracentral_Lobule_R <=> Pallidum_R,-0.005441553868815308
Frontal_Mid_L <=> Temporal_Pole_Mid_R,-0.004640318886868844
Cingulum_Post_L <=> Cuneus_L,-0.004597990092797488
Pallidum_L <=> Vermis_3,-0.004536778773641626
Frontal_Sup_Orb_L <=> Cerebelum_3_R,-0.0044157312057730765
Rectus_R <=> Paracentral_Lobule_L,-0.004172692117813193
Rolandic_Oper_R <=> Caudate_L,-0.003582026290877205
Frontal_Inf_Tri_R <=> SupraMarginal_R,-0.0034415180502688656
Cingulum_Mid_R <=> Temporal_Inf_L,-0.003420394522146175
Supp_Motor_Area_L <=> Cuneus_R,-0.0033891470898755214
Temporal_Sup_L <=> Cerebelum_7b_L,-0.002879700617118619
Frontal_Sup_Orb_R <=> Lingual_R,-0.0028257212189600756
ParaHippocampal_R <=> Cerebelum_3_R,-0.0027923911629784137
Cerebelum_6_R <=> Cerebelum_9_L,-0.0027587376221079652
Frontal_Inf_Orb_R <=> Cerebelum_3_R,-0.002647359097809465
Parietal_Inf_R <=> SupraMarginal_R,-0.002468033925183555
Frontal_Sup_L <=> Rectus_L,-0.0023826240348185255
Hippocampus_R <=> Vermis_8,-0.0022382660641260266
Occipital_Sup_L <=> Caudate_L,-0.0020509510782703577
Parietal_Inf_R <=> Heschl_R,-0.0019374548684894855
Parietal_Sup_R <=> Parietal_Inf_R,-0.0018481283446301288
Frontal_Mid_R <=> Parietal_Sup_L,-0.0018163105955673053
Rolandic_Oper_L <=> Parietal_Inf_L,-0.001811958679902892
Calcarine_R <=> Occipital_Mid_L,-0.0018014730676784163
Precuneus_L <=> Cerebelum_7b_L,-0.0017349168244320534
Calcarine_L <=> Vermis_7,-0.0016372005937001165
Cingulum_Ant_L <=> Cerebelum_9_R,-0.0016208727890119734
Temporal_Inf_R <=> Cerebelum_9_L,-0.0015912576750855667
Cingulum_Post_L <=> Cerebelum_10_R,-0.001472370868395978
Temporal_Sup_L <=> Temporal_Mid_R,-0.001452093514809505
Frontal_Sup_Medial_L <=> Insula_L,-0.001421432602912831
Olfactory_R <=> Postcentral_L,-0.0013609376276915608
Temporal_Sup_L <=> Temporal_Inf_R,-0.001360235932957843
Hippocampus_R <=> Cerebelum_4_5_L,-0.0012947826510369743
Caudate_R <=> Vermis_10,-0.001260139710716035
Temporal_Pole_Sup_L <=> Temporal_Pole_Sup_R,-0.0012000350794449278
Precentral_R <=> Supp_Motor_Area_R,-0.0011042280940265492
Frontal_Mid_Orb_R <=> Hippocampus_R,-0.0010603410291263327
Precentral_L <=> Cingulum_Mid_R,-0.0010554746598419706
Frontal_Inf_Oper_R <=> SupraMarginal_R,-0.001050184345871119
Frontal_Mid_Orb_L <=> Amygdala_L,-0.0009712076722009133
Amygdala_R <=> Cerebelum_3_L,-0.0009335814167183764
Precentral_R <=> Rectus_L,-0.000919990679341165
Olfactory_R <=> Pallidum_L,-0.0009076460209513249
Cerebelum_6_L <=> Cerebelum_10_L,-0.0008927576394052838
Cingulum_Ant_L <=> Heschl_R,-0.0008779451121238679
Supp_Motor_Area_L <=> Temporal_Inf_R,-0.0008720967969843673
Occipital_Mid_L <=> Occipital_Mid_R,-0.0008477315703854238
Temporal_Sup_L <=> Temporal_Pole_Mid_R,-0.0008415492201588881
Lingual_R <=> Occipital_Mid_L,-0.0008033125170837874
Heschl_L <=> Temporal_Pole_Mid_R,-0.0007938840830757022
Insula_L <=> Occipital_Sup_R,-0.0007841247606384716
Cingulum_Mid_L <=> Fusiform_L,-0.000755613589815174
Precuneus_L <=> Cerebelum_4_5_L,-0.0007498595660225371
Cerebelum_6_L <=> Vermis_7,-0.0007432145676001367
Hippocampus_L <=> Cerebelum_3_R,-0.0007344712087942629
Insula_R <=> Cuneus_L_multiply_Insula_L <=> Fusiform_R,-0.0006835828363531693
Temporal_Inf_L <=> Cerebelum_6_R,-0.0006798910207221232
Frontal_Sup_Medial_R <=> Paracentral_Lobule_R,-0.0006663645375525773
Temporal_Inf_R <=> Cerebelum_4_5_L,-0.000645751671701511
Cerebelum_Crus1_L <=> Vermis_7,-0.0006009332936495415
Cingulum_Mid_R <=> SupraMarginal_R,-0.0005858294674315311
Insula_L <=> Vermis_6,-0.0005760023813155656
Putamen_L <=> Cerebelum_10_L,-0.0005653273258958036
Frontal_Sup_Medial_L <=> Caudate_L,-0.0005633485448973463
