feature,mean_importance
Cuneus_L <=> Occipital_Mid_L,-0.07764483072917479
Precentral_R <=> Occipital_Sup_R,-0.07502479049093455
Cuneus_L <=> Fusiform_R,-0.06801324772750146
Calcarine_L <=> Occipital_Mid_L,-0.06501641684668495
Occipital_Mid_L <=> Precuneus_L,-0.06471172750332607
Occipital_Inf_L <=> Temporal_Sup_L,-0.06463505357007264
Occipital_Mid_L <=> Cerebelum_8_L,-0.06301772446565704
Precentral_L <=> Temporal_Inf_L,-0.0629018611700662
Temporal_Mid_L <=> Temporal_Pole_Mid_L,-0.06278355498432271
Cerebelum_4_5_R <=> Vermis_8,-0.06228496068845102
Precentral_L <=> Parietal_Inf_L,-0.06182327394008054
Calcarine_L <=> Fusiform_R,-0.06173567923446681
Precentral_R <=> Cuneus_R,-0.06139255938927315
Calcarine_L <=> Precuneus_R,-0.06106821286320656
Occipital_Sup_L <=> Occipital_Mid_L,-0.06083232523494164
Precentral_L <=> Occipital_Sup_R,-0.060701400143150244
Occipital_Inf_L <=> Fusiform_L,-0.0601400130016347
Fusiform_R <=> Temporal_Mid_L,-0.06005299061186857
Cuneus_R <=> Occipital_Mid_L,-0.05992288760404607
Cuneus_L <=> Postcentral_L,-0.059550693336440474
Fusiform_R <=> Precuneus_L,-0.059524791678666936
Fusiform_R <=> Vermis_8,-0.058707033574349234
Calcarine_L <=> Fusiform_L,-0.057061603977946705
Fusiform_L <=> Cerebelum_Crus2_R,-0.05684009127830238
Cuneus_R <=> Postcentral_L,-0.056535294735043706
Fusiform_R <=> Cerebelum_8_R,-0.056150992357015636
Occipital_Sup_L <=> Postcentral_L,-0.055558997915739636
Parietal_Sup_L <=> Cerebelum_8_R,-0.05529946915491753
Temporal_Pole_Sup_L <=> Temporal_Mid_L,-0.05475128756742746
Occipital_Mid_L <=> Cerebelum_6_R,-0.054002799822857474
Occipital_Sup_R <=> Postcentral_R,-0.053029553032798216
Fusiform_R <=> Vermis_7,-0.05259260155562053
Precentral_R <=> Occipital_Inf_R,-0.05203498670616051
Occipital_Sup_R <=> Postcentral_L,-0.05168571219148976
Precentral_L <=> Cuneus_L,-0.05158530741391258
Fusiform_L <=> Paracentral_Lobule_L,-0.05101562122601013
Cuneus_L <=> Paracentral_Lobule_L,-0.051011561328238475
Lingual_L <=> Precuneus_R,-0.05100904453716062
Calcarine_L <=> Paracentral_Lobule_L,-0.05075897562035747
Cingulum_Mid_L <=> Paracentral_Lobule_L,-0.05054919861669083
Fusiform_R <=> Cerebelum_Crus2_R,-0.05044958428487378
Precentral_R <=> Parietal_Inf_L,-0.05024684885974384
Occipital_Inf_L <=> Paracentral_Lobule_L,-0.050220198216535915
Cuneus_L <=> Occipital_Sup_R,-0.05012421752571124
Fusiform_L <=> Temporal_Mid_L,-0.050097734968220745
Postcentral_L <=> Parietal_Inf_L,-0.050040876447545825
Precentral_R <=> Paracentral_Lobule_L,-0.05002446677307022
Fusiform_L <=> Precuneus_L,-0.04990391070043136
Calcarine_L <=> Precuneus_L,-0.04975045413416481
Lingual_R <=> Cerebelum_8_R,-0.04962361616257205
Occipital_Inf_L <=> Cerebelum_6_R,-0.04961651756207219
Lingual_L <=> Fusiform_R,-0.04859368552219312
Fusiform_R <=> Cerebelum_7b_R,-0.04825178911546768
Fusiform_L <=> Cerebelum_8_R,-0.04811588667560622
Precentral_L <=> Cuneus_R,-0.04800346301776148
Cerebelum_Crus2_R <=> Cerebelum_6_R,-0.04790014679598409
Precentral_R <=> Calcarine_L,-0.04761635481264168
Temporal_Sup_L <=> Temporal_Inf_L,-0.047306445230885966
Supp_Motor_Area_L <=> Cingulum_Mid_L,-0.04722965333275155
Calcarine_L <=> Occipital_Inf_L,-0.047190905023801834
Occipital_Inf_R <=> Fusiform_R,-0.04705034521539009
Occipital_Mid_L <=> Precuneus_R,-0.04699517884145434
Precentral_L <=> Frontal_Mid_L,-0.04695522968634638
Precentral_L <=> Occipital_Mid_L,-0.04688637973336505
Cuneus_R <=> Fusiform_R,-0.04683319819512351
Occipital_Inf_L <=> Fusiform_R,-0.04673467946179892
Lingual_L <=> Occipital_Mid_L,-0.04657097741791753
Temporal_Sup_L <=> Temporal_Mid_L,-0.04644062719783078
Cerebelum_6_R <=> Vermis_6,-0.04631165476697641
Cerebelum_4_5_R <=> Vermis_3,-0.046250561898644446
Cerebelum_Crus2_R <=> Cerebelum_6_L,-0.045728605326185875
Cerebelum_4_5_R <=> Cerebelum_8_L,-0.04558315061083969
Fusiform_L <=> Cerebelum_7b_L,-0.04553727947329742
Lingual_R <=> Fusiform_R,-0.045459105741058714
Cerebelum_6_R <=> Vermis_8,-0.04537806546445013
Temporal_Mid_L <=> Temporal_Pole_Mid_R,-0.045377645411749955
Fusiform_L <=> Cerebelum_Crus2_L,-0.0451866835814589
Occipital_Inf_L <=> Cerebelum_8_L,-0.045124323946421005
