feature,mean_importance
Frontal_Sup_L <=> Vermis_8,-0.09045934113533613
Lingual_L <=> Vermis_8,-0.055760460982010464
Frontal_Mid_R <=> Paracentral_Lobule_L,-0.046472194026843106
Cuneus_R <=> Caudate_L,-0.04352994096329103
Supp_Motor_Area_R <=> Temporal_Mid_L,-0.03090272315150342
Frontal_Mid_Orb_L <=> Cerebelum_Crus1_R,-0.019737214582704166
Hippocampus_L <=> Parietal_Inf_R,-0.018645611564098764
Precentral_L <=> Rolandic_Oper_R,-0.018482595165110815
Cuneus_R <=> Vermis_1_2,-0.016652532646550623
Insula_L <=> Temporal_Inf_R,-0.014839354963293295
Precentral_R <=> Cerebelum_7b_R,-0.010625975178487535
Cuneus_L <=> Caudate_L,-0.009915706358804366
Precentral_L <=> Frontal_Mid_R,-0.009566060590768232
Precentral_L <=> Vermis_1_2,-0.009382498745028523
Precentral_L <=> Frontal_Sup_R,-0.00772771791813689
Frontal_Sup_L <=> Occipital_Inf_R,-0.007408432101638773
Cingulum_Ant_R <=> Temporal_Pole_Sup_L,-0.007316555315736694
Supp_Motor_Area_L <=> Vermis_1_2,-0.006370709370720462
Precentral_L <=> Frontal_Inf_Oper_R,-0.006264063455405244
Precentral_L <=> Fusiform_R,-0.0062298709571204204
Cingulum_Ant_R <=> Fusiform_R,-0.006192216228023462
Pallidum_R <=> Vermis_10,-0.005825951457905054
Precentral_L <=> Olfactory_R,-0.005472390728571419
Caudate_L <=> Cerebelum_Crus2_R,-0.005309639594993509
Precentral_R <=> Vermis_3,-0.004585421986845662
Precentral_L <=> Precentral_R,-0.004573742856530538
Angular_R <=> Vermis_1_2,-0.003808361933286042
Occipital_Mid_R <=> Occipital_Inf_R,-0.003560942649515786
Precentral_L <=> Frontal_Mid_Orb_L,-0.003543340986599919
Precentral_L <=> Frontal_Med_Orb_R,-0.0035194963870761155
Temporal_Pole_Mid_R <=> Vermis_1_2,-0.003436389398574269
Frontal_Med_Orb_L <=> Putamen_L,-0.003410974513398246
Rolandic_Oper_L <=> Cingulum_Mid_L,-0.0032647130301745263
Frontal_Sup_Orb_R <=> Frontal_Inf_Oper_R,-0.003249525901204686
Olfactory_L <=> SupraMarginal_R,-0.0030822070497848577
Frontal_Med_Orb_R <=> Cerebelum_7b_L,-0.0030124871235834407
Precentral_L <=> Amygdala_R,-0.002982713642696577
Calcarine_R <=> Putamen_L,-0.0028886327809673597
Frontal_Inf_Orb_L <=> Temporal_Mid_L,-0.0028512147772420614
Cerebelum_3_L <=> Vermis_10,-0.002781737599464229
Frontal_Inf_Tri_R <=> Heschl_L,-0.0026584457170827137
Supp_Motor_Area_L <=> Precuneus_L,-0.0026064412246210368
Paracentral_Lobule_R <=> Cerebelum_3_R,-0.0025208564713947723
Frontal_Mid_L <=> Cerebelum_6_L,-0.0024032900854700666
Precentral_R <=> Putamen_R,-0.0023896615387905664
Frontal_Sup_Orb_R <=> Cerebelum_7b_L,-0.002385707679524884
Precentral_R <=> Rectus_L,-0.002344250205304288
Precentral_L <=> Frontal_Sup_Orb_R,-0.0021685745929978404
Frontal_Sup_R <=> Cuneus_L,-0.002116024658794613
Cerebelum_Crus1_R <=> Vermis_1_2,-0.0017437250433957273
Precentral_L <=> Frontal_Inf_Tri_L,-0.0016241890522060488
Caudate_L <=> Cerebelum_Crus1_R,-0.0015331748219669984
Rectus_R <=> Cerebelum_Crus2_L,-0.0015315845239529668
Frontal_Inf_Oper_L <=> Cuneus_R,-0.0013389691883392897
Precentral_L <=> Supp_Motor_Area_L,-0.001273108892670871
Heschl_L <=> Vermis_7,-0.0011018465485329366
Precentral_R <=> Rectus_R,-0.0010983025479078367
Precentral_R <=> Pallidum_L,-0.0010960588931644643
Precentral_L <=> Postcentral_L,-0.001088722016101773
Lingual_R <=> Vermis_9,-0.001081180718972119
Frontal_Inf_Orb_R <=> Pallidum_R,-0.0010649745409387456
Pallidum_R <=> Heschl_L,-0.0010178919042326928
Frontal_Sup_Orb_R <=> Occipital_Mid_L,-0.000925700808144203
Parietal_Inf_R <=> Cerebelum_6_L,-0.0008981219428060516
Temporal_Pole_Sup_L <=> Vermis_3,-0.0008799361318692966
Precentral_L <=> Frontal_Mid_Orb_R,-0.0008313399772310603
Frontal_Sup_Orb_R <=> Pallidum_L,-0.0007558732727904083
Precentral_L <=> Temporal_Inf_L,-0.0007130660855617421
Cuneus_L <=> Vermis_1_2,-0.0007097136217711686
Temporal_Pole_Sup_R <=> Vermis_3,-0.0007064370332080738
Putamen_L <=> Cerebelum_6_R,-0.0006696273042556377
Amygdala_R <=> Vermis_8,-0.000667311591420594
Precentral_L <=> Frontal_Mid_L,-0.0006433473658188582
Hippocampus_R <=> Vermis_4_5,-0.0006296144819012195
Frontal_Inf_Orb_R <=> Fusiform_R,-0.0006113254590725869
