feature,mean_importance
Frontal_Sup_R <=> Frontal_Mid_Orb_R,-0.018178711057305418
Frontal_Mid_Orb_L <=> Rectus_L,-0.01682609035921363
Olfactory_L <=> Occipital_Inf_L,-0.0148403776828824
Parietal_Sup_R <=> Heschl_L,-0.012754439134824103
Occipital_Mid_L <=> Temporal_Pole_Mid_R,-0.012100091748134112
Lingual_R <=> Vermis_10,-0.01205554617071205
Parietal_Sup_R <=> Temporal_Inf_L,-0.011358784025330793
Frontal_Sup_Orb_R <=> Putamen_R,-0.010104739817433029
Rectus_R <=> Temporal_Mid_R,-0.0094886259609813
Frontal_Sup_Orb_L <=> SupraMarginal_L,-0.009459548575322075
Frontal_Med_Orb_L <=> Cerebelum_Crus1_R,-0.009185220756944324
Cingulum_Post_L <=> Parietal_Sup_L,-0.009090166588721482
Hippocampus_L <=> Vermis_3,-0.008749776889574946
Supp_Motor_Area_R <=> Cerebelum_3_R,-0.008275956103849392
Frontal_Mid_Orb_R <=> Temporal_Pole_Mid_R,-0.008241453457480997
Rectus_R <=> Amygdala_R,-0.007686077940003688
Temporal_Mid_R <=> Vermis_4_5,-0.007143135097297604
Paracentral_Lobule_R <=> Temporal_Sup_R,-0.0070894396942824175
Frontal_Sup_Medial_L <=> Insula_R,-0.007022873747290603
Frontal_Inf_Orb_R <=> Cerebelum_3_R,-0.006868741751892249
Cerebelum_4_5_R <=> Cerebelum_10_L,-0.006806661272654102
Frontal_Mid_R <=> Frontal_Inf_Oper_R,-0.006765544859577077
Frontal_Inf_Oper_L <=> Occipital_Mid_L,-0.006755782180209358
Cingulum_Mid_R <=> Precuneus_L,-0.006610358695773311
Olfactory_L <=> Cingulum_Ant_L,-0.006559123208359963
Rectus_R <=> ParaHippocampal_L,-0.006556295085035524
Frontal_Mid_R <=> Cuneus_R,-0.0064890779199819225
SupraMarginal_R <=> Vermis_10,-0.006445914717073542
Frontal_Sup_L <=> Temporal_Pole_Mid_R,-0.00560770000171118
Cingulum_Mid_R <=> Cerebelum_Crus2_L,-0.005381826310950899
Frontal_Inf_Oper_L <=> Insula_L,-0.005297706309218486
Frontal_Sup_Orb_R <=> Frontal_Mid_Orb_L,-0.0052886951506435406
Rolandic_Oper_R <=> Precuneus_R,-0.005068660995941099
Occipital_Sup_R <=> SupraMarginal_R,-0.00495466836400762
SupraMarginal_L <=> Pallidum_R,-0.004925180415452868
Heschl_L <=> Cerebelum_Crus2_L,-0.004876431733263731
Heschl_R <=> Cerebelum_3_L,-0.004853708603834983
Occipital_Mid_R <=> Putamen_R,-0.004740627648815665
Occipital_Mid_L <=> Vermis_9,-0.0045988450632668655
Frontal_Inf_Oper_L <=> Amygdala_R,-0.004556062942957961
Supp_Motor_Area_R <=> Lingual_R,-0.004480161711732577
Cerebelum_7b_R <=> Cerebelum_10_R,-0.004334926558123908
Hippocampus_L <=> Cuneus_L,-0.004276376108638069
Cingulum_Mid_L <=> Cerebelum_Crus2_R,-0.003677444781364203
Olfactory_L <=> Temporal_Sup_L,-0.0035894752588004008
Precuneus_L <=> Caudate_R,-0.003492504730280932
Cingulum_Ant_R <=> Amygdala_L,-0.0033787145393033846
Parietal_Inf_L <=> Precuneus_R,-0.0031970373119049266
Cingulum_Ant_R <=> Cerebelum_9_R,-0.0030795883337284558
Frontal_Sup_L <=> Frontal_Sup_Medial_R,-0.0030703817829293547
Cerebelum_Crus1_R <=> Cerebelum_4_5_R,-0.003018025509157063
Cuneus_R <=> Fusiform_R,-0.002951095687482508
Cingulum_Mid_L <=> Occipital_Inf_R,-0.0025886567559798347
Frontal_Mid_R <=> Heschl_L,-0.002507103332573113
Insula_L <=> Fusiform_L,-0.0023131924976539375
Cingulum_Ant_L <=> Temporal_Sup_L,-0.0022850212937447047
Hippocampus_L <=> Angular_L,-0.0021431020952585424
Occipital_Inf_R <=> Fusiform_R,-0.0021302507023465587
Cingulum_Ant_L <=> Cerebelum_Crus1_L,-0.0020365869992330808
Parietal_Sup_R <=> Cerebelum_7b_L,-0.0016519908657801174
Insula_R <=> Temporal_Sup_R,-0.0014992716474965695
Frontal_Inf_Oper_R <=> Paracentral_Lobule_R,-0.0014253804375193636
Precuneus_L <=> Pallidum_L,-0.001295608271576154
Olfactory_L <=> Occipital_Mid_L,-0.001277390482968821
Precentral_L <=> Cerebelum_10_R,-0.0012172330649903751
Rolandic_Oper_L <=> SupraMarginal_R,-0.0011962030606573082
Rectus_L <=> Temporal_Pole_Mid_L,-0.001096820387004649
Frontal_Mid_R <=> Cerebelum_7b_R,-0.0009852145384428913
Frontal_Inf_Oper_R <=> Amygdala_L,-0.0009843410162645005
Hippocampus_R <=> Cerebelum_6_L,-0.0009719165588058853
Angular_L <=> Temporal_Pole_Mid_R,-0.0009711205408065692
SupraMarginal_L <=> Vermis_6,-0.000934728785385941
Frontal_Mid_Orb_L <=> Temporal_Pole_Sup_L,-0.0008030620053937288
Precentral_R <=> Cerebelum_6_R,-0.0007605470980258877
Temporal_Inf_R <=> Cerebelum_7b_L,-0.0007173917343309188
Cingulum_Mid_L <=> Angular_R,-0.0005792255768303223
Frontal_Sup_L <=> Cerebelum_8_R,-0.0004603057963651569
Lingual_L <=> Cerebelum_9_L,-0.00044368442762616757
Thalamus_L <=> Cerebelum_6_L,-0.0001794582633754871
Calcarine_R <=> Fusiform_R,-9.803345971821642e-05
ParaHippocampal_R <=> Cerebelum_Crus2_L,-7.450716563266458e-05
Precentral_L <=> Frontal_Inf_Tri_L,-5.480796574408586e-05
Occipital_Sup_L <=> Cerebelum_8_R,0.0
Occipital_Sup_L <=> Cerebelum_9_R,0.0
Occipital_Sup_L <=> Cerebelum_9_L,0.0
Occipital_Sup_L <=> Cerebelum_8_L,0.0
Occipital_Sup_L <=> Angular_L,0.0
Occipital_Sup_L <=> Postcentral_L,0.0
Occipital_Sup_L <=> Cerebelum_10_R,0.0
Occipital_Sup_L <=> Vermis_1_2,0.0
Occipital_Sup_L <=> Vermis_3,0.0
Occipital_Sup_L <=> Fusiform_R,0.0
Occipital_Sup_L <=> Fusiform_L,0.0
Occipital_Sup_L <=> Vermis_6,0.0
Occipital_Sup_L <=> Vermis_7,0.0
