feature,mean_importance
Frontal_Sup_Medial_L <=> Temporal_Mid_L,-0.04068422756140251
Precentral_R <=> Calcarine_L,-0.03407381145276513
Precentral_R <=> Occipital_Inf_R,-0.03394585391961904
Rolandic_Oper_R <=> Heschl_R,-0.03244930545063003
Occipital_Mid_L <=> Parietal_Sup_L,-0.03164167890173042
ParaHippocampal_L <=> Fusiform_L,-0.0300469220233917
Frontal_Sup_L <=> Temporal_Mid_L,-0.02884144325687803
Cingulum_Ant_L <=> Caudate_L,-0.028504421263880798
Temporal_Sup_R <=> Temporal_Inf_R,-0.028197691319619977
Occipital_Mid_R <=> Parietal_Sup_L,-0.02806577616246635
Temporal_Sup_R <=> Temporal_Mid_L,-0.02791463193050827
Cerebelum_6_R <=> Vermis_4_5,-0.02756257710153136
Frontal_Sup_Medial_L <=> Precuneus_L,-0.026881837884766925
Frontal_Inf_Orb_L <=> Frontal_Sup_Medial_L,-0.026604751891188362
Frontal_Sup_Medial_R <=> Temporal_Mid_L,-0.026553521548896074
Fusiform_L <=> Temporal_Sup_R,-0.026541116393971987
Frontal_Sup_R <=> Parietal_Sup_R,-0.02598155058337408
Temporal_Sup_R <=> Temporal_Mid_R,-0.025929209372323393
Cerebelum_4_5_R <=> Vermis_6,-0.025888969198749213
Occipital_Mid_R <=> Parietal_Sup_R,-0.02545487832096436
Fusiform_R <=> Temporal_Sup_R,-0.02538979274077775
Supp_Motor_Area_L <=> Temporal_Inf_R,-0.024961062466627392
Frontal_Sup_L <=> Cerebelum_Crus1_R,-0.024945562944023437
Precentral_R <=> Occipital_Inf_L,-0.02484652981738682
Frontal_Sup_L <=> Angular_L,-0.024089089926975227
Vermis_4_5 <=> Vermis_6,-0.023972098366727847
Occipital_Inf_R <=> Temporal_Mid_R,-0.023133387997762524
Frontal_Sup_Orb_R <=> Temporal_Inf_L,-0.022946745640686127
Calcarine_L <=> Postcentral_L,-0.022636678998943525
Frontal_Sup_L <=> Cingulum_Post_L,-0.022492966694096683
Frontal_Inf_Orb_R <=> Temporal_Sup_R,-0.022477276204084972
ParaHippocampal_R <=> Fusiform_R,-0.02243119479303841
Supp_Motor_Area_R <=> Parietal_Sup_L,-0.022333122599397993
ParaHippocampal_L <=> Fusiform_R,-0.02232765696246277
Frontal_Inf_Orb_L <=> Frontal_Sup_Medial_R,-0.02227247711371554
Fusiform_L <=> Temporal_Mid_R,-0.022221731723686487
