feature,mean_importance
Parietal_Sup_L <=> Parietal_Inf_L,-0.007459754424164133
Cingulum_Mid_L <=> Temporal_Mid_L,-0.0071017493096633185
Frontal_Sup_Orb_R <=> Cerebelum_Crus2_R,-0.005330954474421312
Heschl_L <=> Vermis_7,-0.005262658649885887
Temporal_Sup_L <=> Temporal_Inf_R,-0.005029247447853868
Hippocampus_R <=> Vermis_8,-0.0037587878654739447
Amygdala_L <=> Cerebelum_6_L,-0.003698760041037552
Calcarine_R <=> Cerebelum_10_R,-0.003636359802566713
Cingulum_Post_L <=> Putamen_R,-0.0035499552322947104
Hippocampus_R <=> Precuneus_R,-0.003378897509001444
Frontal_Sup_Orb_R <=> Frontal_Mid_Orb_L,-0.0031957751867790485
Hippocampus_R <=> Occipital_Mid_R,-0.0030904959785502894
SupraMarginal_R <=> Vermis_10,-0.0030751296349252
Precentral_L <=> Cingulum_Mid_R,-0.0029917508793351867
Rolandic_Oper_L <=> Cerebelum_4_5_R,-0.0028199879912874427
Olfactory_R <=> Cuneus_R,-0.002307551125483198
Olfactory_R <=> Cingulum_Mid_L,-0.002210977727070529
Cingulum_Ant_L <=> Temporal_Inf_L,-0.00220542792542211
Cingulum_Mid_L <=> ParaHippocampal_L,-0.0021878067876999864
Cingulum_Ant_L <=> Cerebelum_Crus1_L,-0.0021870923584482505
Temporal_Sup_L <=> Cerebelum_4_5_R,-0.00215707132647438
Frontal_Sup_Orb_L <=> Amygdala_L,-0.002144402527116007
Cingulum_Post_L <=> ParaHippocampal_L,-0.0021357213641377327
Hippocampus_R <=> Cerebelum_Crus2_R,-0.0020944350803652643
Occipital_Sup_R <=> Occipital_Inf_R,-0.0020343768748259717
Hippocampus_L <=> Parietal_Inf_R,-0.001995670048800813
Parietal_Sup_R <=> Heschl_L,-0.0019798667162882035
Frontal_Mid_Orb_L <=> Cingulum_Ant_L,-0.0019384004525088816
Temporal_Sup_L <=> Cerebelum_7b_R,-0.0018007093632740555
Lingual_L <=> Cerebelum_10_R,-0.0017399254578094104
Occipital_Inf_L <=> Thalamus_L,-0.0016772414384336187
