feature,mean_importance
Cerebelum_10_L <=> Vermis_1_2,-0.05049967622949558
Frontal_Inf_Tri_L <=> Paracentral_Lobule_R,-0.04459336905648699
Cingulum_Post_L <=> Vermis_6,-0.03821103628784532
Occipital_Inf_L <=> Angular_L,-0.03149231492306
Rolandic_Oper_L <=> Insula_R,-0.02644156023465851
Frontal_Sup_Orb_L <=> Cerebelum_Crus1_R,-0.01908710925906918
Frontal_Sup_Medial_R <=> Cerebelum_4_5_L,-0.017196385294869266
Parietal_Sup_L <=> Temporal_Pole_Mid_R,-0.015091331459049794
Frontal_Inf_Tri_R <=> Postcentral_R,-0.014993059440199708
Cuneus_R <=> Vermis_10,-0.010966507465708287
Frontal_Inf_Oper_L <=> Cerebelum_6_L,-0.010677328446462275
Frontal_Sup_Orb_R <=> Olfactory_L,-0.01065628017246223
Frontal_Sup_Medial_R <=> Rectus_L,-0.008815658028538786
Frontal_Med_Orb_R <=> Cingulum_Post_L,-0.0071546119058683464
Frontal_Sup_Medial_R <=> Parietal_Inf_R,-0.006826727955051704
Vermis_7 <=> Vermis_10,-0.006696524806022119
Precentral_R <=> Cerebelum_3_L,-0.005653935664781495
Postcentral_L <=> Putamen_L,-0.00544818744471931
Parietal_Inf_L <=> Vermis_3,-0.0054070752792915846
Frontal_Sup_R <=> Frontal_Sup_Medial_R,-0.005216097828615607
Olfactory_R <=> Postcentral_L,-0.004757718431942526
Calcarine_L <=> Cerebelum_Crus2_L,-0.004604465080813957
SupraMarginal_R <=> Caudate_R,-0.0045970566562718584
Cingulum_Ant_L <=> Occipital_Inf_L,-0.004490576910169075
Precentral_L <=> Rolandic_Oper_L,-0.004367081879088408
Frontal_Med_Orb_L <=> Cingulum_Post_L,-0.004355275335702191
Insula_R <=> Cerebelum_7b_R,-0.004155182537054158
Frontal_Inf_Orb_R <=> Cerebelum_9_L,-0.0037976589046020194
Frontal_Sup_Orb_L <=> Vermis_6,-0.0036467886446646114
Frontal_Mid_Orb_R <=> Temporal_Inf_R,-0.0032985463367539492
Frontal_Med_Orb_R <=> Cingulum_Mid_L,-0.0032671563156999816
Supp_Motor_Area_L <=> Insula_R,-0.003093615747149325
Cingulum_Ant_L <=> Amygdala_R,-0.002972898156826065
Precentral_L <=> Frontal_Sup_L,-0.002781773433252965
Frontal_Mid_R <=> Postcentral_R,-0.0027594738232427306
Parietal_Inf_R <=> Temporal_Inf_R,-0.0024072020694912767
Frontal_Inf_Oper_L <=> Putamen_R,-0.002289812795285684
Frontal_Inf_Oper_L <=> Vermis_3,-0.0021905683008633047
Cuneus_R <=> Occipital_Mid_R,-0.0021845884532389003
Precentral_R <=> Paracentral_Lobule_R,-0.0019915022464829456
Precentral_L <=> Olfactory_L,-0.0019721879450017134
Cerebelum_9_L <=> Vermis_9,-0.0019142524477179456
Vermis_3 <=> Vermis_8,-0.0019132533020450593
Frontal_Sup_Medial_L <=> Cerebelum_9_R,-0.0019000988542946518
Temporal_Sup_R <=> Temporal_Pole_Sup_R,-0.0018885367802940144
Frontal_Mid_Orb_R <=> SupraMarginal_R,-0.0018748223803519704
Thalamus_L <=> Temporal_Sup_R,-0.0015518538418195949
Heschl_R <=> Cerebelum_8_R,-0.0015258521545601146
Putamen_L <=> Cerebelum_Crus2_L,-0.0014382699910296282
Precentral_L <=> Parietal_Inf_L,-0.0014353123476821051
Cerebelum_9_L <=> Vermis_1_2,-0.0013263068934028066
Cerebelum_9_L <=> Vermis_10,-0.0013178787113421243
Calcarine_R <=> Vermis_7,-0.001297324538029443
Frontal_Inf_Orb_R <=> Cingulum_Ant_R,-0.0012920074896114243
Precentral_R <=> Supp_Motor_Area_L,-0.0012595312572168283
Parietal_Inf_L <=> Parietal_Inf_R,-0.0012346895035530326
Insula_L <=> Postcentral_L,-0.0012344127869178489
Insula_R <=> ParaHippocampal_R,-0.0012213217849268876
Occipital_Mid_R <=> Cerebelum_7b_R,-0.0012033839356022425
Temporal_Pole_Mid_R <=> Temporal_Inf_L,-0.0011702690663059512
Lingual_R <=> Occipital_Inf_L,-0.0010821555943507422
Parietal_Inf_L <=> Caudate_L,-0.00106088792844814
Cerebelum_9_L <=> Vermis_4_5,-0.0010567675597899172
Frontal_Inf_Oper_R <=> ParaHippocampal_R,-0.0009973968254717747
Cingulum_Ant_R <=> Caudate_R,-0.0009961124173242242
Frontal_Mid_Orb_R <=> Caudate_L,-0.0009324610744234185
Pallidum_R <=> Cerebelum_10_L,-0.0008069182014699194
Precentral_R <=> Cerebelum_8_L,-0.0008026876097249946
Parietal_Inf_R <=> Vermis_8,-0.0007992433648010833
Precuneus_L <=> Cerebelum_Crus1_L,-0.0007939575319054537
Cingulum_Post_L <=> Cerebelum_9_R,-0.0007822124149135856
Lingual_L <=> Cerebelum_4_5_L,-0.0007625005843119315
Heschl_L <=> Cerebelum_Crus2_R,-0.0007526757034270748
Precentral_R <=> Frontal_Inf_Orb_L,-0.00074559699570933
Frontal_Mid_Orb_L <=> Angular_R,-0.0007436201353985927
Precuneus_L <=> Cerebelum_10_L,-0.0007135210732828856
Rectus_L <=> Cerebelum_Crus1_L,-0.0006878431327270951
Olfactory_L <=> Amygdala_L,-0.0006812126842145938
Cingulum_Ant_L <=> Cingulum_Mid_L,-0.0006754829111511373
Cerebelum_6_L <=> Cerebelum_7b_L,-0.0006291579792421454
Calcarine_R <=> Putamen_R,-0.0006208180935665331
Cingulum_Ant_L <=> Cerebelum_7b_L,-0.0006198650039485276
Postcentral_R <=> Precuneus_R,-0.0005901537753725483
Olfactory_L <=> Vermis_10,-0.0005817512877972942
Frontal_Med_Orb_L <=> Vermis_6,-0.0005723381100392278
Insula_R <=> Occipital_Inf_L,-0.0005481916267289666
Cingulum_Post_R <=> Calcarine_L,-0.0005454359055374836
Paracentral_Lobule_L <=> Vermis_4_5,-0.0005276003437709953
Precentral_R <=> Rolandic_Oper_L,-0.0005254857554236158
Frontal_Inf_Orb_L <=> Parietal_Inf_L,-0.000499757679153201
Frontal_Inf_Oper_L <=> Cingulum_Ant_R,-0.0004940334286596792
Cingulum_Ant_R <=> Cerebelum_9_R,-0.0004888335057351201
ParaHippocampal_L <=> Cerebelum_9_R,-0.00044807661474075553
Cingulum_Post_R <=> Vermis_6,-0.0004285748798493305
Frontal_Med_Orb_L <=> Vermis_1_2,-0.0004271611149377685
Frontal_Sup_Orb_R <=> Angular_R,-0.0004268576927125123
Precentral_R <=> Occipital_Mid_R,-0.00040374232743736196
Frontal_Sup_Medial_R <=> Cerebelum_3_L,-0.0003971975197915478
Frontal_Mid_Orb_R <=> Frontal_Inf_Orb_L,-0.0003839923577073634
Cerebelum_8_R <=> Cerebelum_10_R,-0.0003775706126275313
Caudate_R <=> Cerebelum_7b_L,-0.0003729317686287814
Olfactory_R <=> Putamen_R,-0.00036821095046004617
Cingulum_Ant_R <=> Cerebelum_7b_L,-0.00034884462063093923
Precuneus_L <=> Vermis_3,-0.0003397567696228565
Frontal_Mid_Orb_L <=> Cerebelum_7b_R,-0.0003294929675146774
Frontal_Inf_Oper_L <=> Paracentral_Lobule_L,-0.00032918402240798004
Insula_R <=> SupraMarginal_L,-0.0003278187787241871
Temporal_Sup_R <=> Vermis_9,-0.0003253583564635232
Frontal_Med_Orb_L <=> Paracentral_Lobule_R,-0.0003241726511329146
Supp_Motor_Area_L <=> Putamen_R,-0.00030256774033474707
Cingulum_Post_R <=> Cerebelum_Crus2_L,-0.00030022040606059175
