feature,mean_importance
Cerebelum_10_L <=> Vermis_1_2,-0.050692068443954554
Frontal_Inf_Tri_L <=> Paracentral_Lobule_R,-0.045158440849753734
Cingulum_Post_L <=> Vermis_6,-0.03902674318143784
Occipital_Inf_L <=> Angular_L,-0.030992055681621267
Rolandic_Oper_L <=> Insula_R,-0.026497276279339156
Frontal_Sup_Orb_L <=> Cerebelum_Crus1_R,-0.02186437558547445
Frontal_Sup_Medial_R <=> Cerebelum_4_5_L,-0.017408507076125224
Parietal_Sup_L <=> Temporal_Pole_Mid_R,-0.015190181860099882
Frontal_Inf_Tri_R <=> Postcentral_R,-0.015033017260984249
Cuneus_R <=> Vermis_10,-0.010957274086838487
Frontal_Sup_Orb_R <=> Olfactory_L,-0.010653791246414324
Frontal_Inf_Oper_L <=> Cerebelum_6_L,-0.010378608228226916
Frontal_Sup_Medial_R <=> Rectus_L,-0.008700231145562398
Frontal_Med_Orb_R <=> Cingulum_Post_L,-0.008055191469845235
Frontal_Sup_Medial_R <=> Parietal_Inf_R,-0.0068101051797206935
Vermis_7 <=> Vermis_10,-0.006763149266797663
Parietal_Inf_L <=> Vermis_3,-0.0056265040032549285
Postcentral_L <=> Putamen_L,-0.005586930414513569
Precentral_R <=> Cerebelum_3_L,-0.005449920082750692
Frontal_Sup_R <=> Frontal_Sup_Medial_R,-0.005265546296064172
Olfactory_R <=> Postcentral_L,-0.00474213389573952
Calcarine_L <=> Cerebelum_Crus2_L,-0.004579143078219184
SupraMarginal_R <=> Caudate_R,-0.0045746896653148465
Cingulum_Ant_L <=> Occipital_Inf_L,-0.004445723359754639
Precentral_L <=> Rolandic_Oper_L,-0.0043992945408714455
Frontal_Med_Orb_L <=> Cingulum_Post_L,-0.004328828736790325
Insula_R <=> Cerebelum_7b_R,-0.004133010368596301
Frontal_Inf_Orb_R <=> Cerebelum_9_L,-0.0038314593287419375
Frontal_Sup_Orb_L <=> Vermis_6,-0.0036161244310141784
Frontal_Mid_Orb_R <=> Temporal_Inf_R,-0.003348339893580832
Frontal_Med_Orb_R <=> Cingulum_Mid_L,-0.003273333466215944
Supp_Motor_Area_L <=> Insula_R,-0.0030256485646983355
Cingulum_Ant_L <=> Amygdala_R,-0.0030215828589462922
Precentral_L <=> Frontal_Sup_L,-0.0027710518153223783
Frontal_Mid_R <=> Postcentral_R,-0.0027470544986477165
Parietal_Inf_R <=> Temporal_Inf_R,-0.0024028710206726034
Frontal_Inf_Oper_L <=> Putamen_R,-0.0022357874307080915
Frontal_Inf_Oper_L <=> Vermis_3,-0.0021640027207188604
Cuneus_R <=> Occipital_Mid_R,-0.0021293758009081286
Insula_L <=> Postcentral_L,-0.0021194981327679495
Precentral_L <=> Olfactory_L,-0.0019769691655917797
Frontal_Mid_Orb_R <=> SupraMarginal_R,-0.001972563102400504
Precentral_R <=> Paracentral_Lobule_R,-0.0019716682020339605
Cerebelum_9_L <=> Vermis_9,-0.0019184088932062693
Vermis_3 <=> Vermis_8,-0.001892383587113833
Frontal_Sup_Medial_L <=> Cerebelum_9_R,-0.0018832807252955996
Temporal_Sup_R <=> Temporal_Pole_Sup_R,-0.0018802297169443927
Thalamus_L <=> Temporal_Sup_R,-0.0015416724256006819
Heschl_R <=> Cerebelum_8_R,-0.0015281536325902235
Putamen_L <=> Cerebelum_Crus2_L,-0.001467575578421121
Precentral_L <=> Parietal_Inf_L,-0.0014475261629619761
Cerebelum_9_L <=> Vermis_10,-0.0013287551624103998
Cerebelum_9_L <=> Vermis_1_2,-0.0013225539780365781
Frontal_Inf_Orb_R <=> Cingulum_Ant_R,-0.0013082172555797466
Calcarine_R <=> Vermis_7,-0.0012964009937167509
Parietal_Inf_L <=> Parietal_Inf_R,-0.0012371428842699705
Precentral_R <=> Supp_Motor_Area_L,-0.0012269896164531335
Insula_R <=> ParaHippocampal_R,-0.0012218499154558638
Occipital_Mid_R <=> Cerebelum_7b_R,-0.0011995962718758246
Temporal_Pole_Mid_R <=> Temporal_Inf_L,-0.0011738913558790643
Parietal_Inf_L <=> Caudate_L,-0.001097298504585975
Lingual_R <=> Occipital_Inf_L,-0.0010621990348200327
Cerebelum_9_L <=> Vermis_4_5,-0.0010269360657711335
Frontal_Inf_Oper_R <=> ParaHippocampal_R,-0.0009977115761406808
Cingulum_Ant_R <=> Caudate_R,-0.0009886895540186958
Frontal_Mid_Orb_R <=> Caudate_L,-0.000929494874350234
Precentral_R <=> Cerebelum_8_L,-0.0008126605110329477
Frontal_Mid_Orb_R <=> Frontal_Inf_Orb_L,-0.0008090223238192973
Pallidum_R <=> Cerebelum_10_L,-0.0008079057759314389
Precuneus_L <=> Cerebelum_Crus1_L,-0.0007958654764011364
Parietal_Inf_R <=> Vermis_8,-0.0007944124231075822
Cingulum_Post_L <=> Cerebelum_9_R,-0.00078981413651249
Precentral_R <=> Frontal_Inf_Orb_L,-0.0007599039658504836
Frontal_Mid_Orb_L <=> Angular_R,-0.0007424347396256525
Precuneus_L <=> Cerebelum_10_L,-0.0007362791725000984
Heschl_L <=> Cerebelum_Crus2_R,-0.0007319817634426684
Lingual_L <=> Cerebelum_4_5_L,-0.0007151084822363263
Olfactory_L <=> Amygdala_L,-0.0006914206505922227
Cingulum_Ant_L <=> Cingulum_Mid_L,-0.0006789535620803644
Rectus_L <=> Cerebelum_Crus1_L,-0.0006439689330960841
Cerebelum_6_L <=> Cerebelum_7b_L,-0.0006321255110715241
ParaHippocampal_L <=> Cerebelum_9_R,-0.0006264711544088364
Calcarine_R <=> Putamen_R,-0.0006239844254152027
Cingulum_Ant_L <=> Cerebelum_7b_L,-0.0006129561522298044
Postcentral_R <=> Precuneus_R,-0.0006081674368758838
Frontal_Med_Orb_L <=> Vermis_6,-0.0005815816316800726
Olfactory_L <=> Vermis_10,-0.0005798989108699582
Putamen_R <=> Cerebelum_10_L,-0.0005645499282060928
Insula_R <=> Occipital_Inf_L,-0.0005435683092524402
Cingulum_Post_R <=> Calcarine_L,-0.0005387195458027572
Precentral_R <=> Rolandic_Oper_L,-0.0005318457650768993
Paracentral_Lobule_L <=> Vermis_4_5,-0.000531062622969003
Cingulum_Ant_R <=> Cerebelum_9_R,-0.0005253062779139173
Frontal_Inf_Orb_L <=> Parietal_Inf_L,-0.0005034110590991681
Frontal_Inf_Oper_L <=> Cingulum_Ant_R,-0.0004815355995039461
Cerebelum_3_R <=> Cerebelum_4_5_L,-0.0004390281634343296
Frontal_Med_Orb_L <=> Vermis_1_2,-0.00041912245596829043
