feature,mean_importance
Cingulum_Ant_L <=> Cerebelum_9_R,-0.03326579389406825
Paracentral_Lobule_L <=> Vermis_1_2,-0.024513047535628506
Cingulum_Mid_L <=> Temporal_Pole_Sup_L,-0.019733066643068974
Cuneus_R <=> Vermis_1_2,-0.01731548529901732
Fusiform_R <=> Precuneus_R,-0.01574738777386475
Precentral_L <=> Frontal_Med_Orb_R,-0.015518033330522818
Putamen_L <=> Cerebelum_7b_L,-0.015119747061306078
Frontal_Sup_R <=> Postcentral_L,-0.014285149732701475
Rolandic_Oper_L <=> Putamen_R,-0.013494477401167559
Frontal_Inf_Orb_R <=> ParaHippocampal_R,-0.013253090067404294
Frontal_Med_Orb_R <=> Insula_L,-0.013047995011126922
Cingulum_Mid_R <=> Vermis_6,-0.013009179656983071
Frontal_Inf_Orb_L <=> Cerebelum_8_R,-0.012942868816277242
Hippocampus_L <=> Vermis_4_5,-0.012220771843130506
Cingulum_Mid_L <=> Calcarine_L,-0.01209594654382642
Postcentral_L <=> Cerebelum_3_L,-0.012048141340013729
Cerebelum_6_R <=> Cerebelum_9_L,-0.011935399493190158
Frontal_Med_Orb_R <=> Hippocampus_L,-0.011590001557134522
Postcentral_R <=> Caudate_R,-0.011427299729862849
Cingulum_Ant_L <=> Calcarine_L,-0.011213450203334285
Parietal_Inf_R <=> Vermis_7,-0.010662678567358674
Calcarine_R <=> Cerebelum_8_R,-0.010574476572836545
ParaHippocampal_L <=> Cerebelum_3_R,-0.010294515136202498
Calcarine_R <=> Postcentral_R,-0.009855301188252685
Cerebelum_4_5_L <=> Vermis_10,-0.009320450835929583
Cingulum_Mid_L <=> Cerebelum_7b_L,-0.00925451705053082
Heschl_R <=> Cerebelum_7b_L,-0.008588049437686717
Frontal_Sup_L <=> Postcentral_L,-0.008035585457596773
Frontal_Sup_R <=> Putamen_L,-0.0075370432735722085
Frontal_Sup_Orb_L <=> Cingulum_Mid_L,-0.0074593631489444645
Frontal_Inf_Orb_L <=> Vermis_8,-0.00745127846731426
Rolandic_Oper_R <=> Cerebelum_Crus2_R,-0.007322367693826703
Frontal_Mid_R <=> Vermis_9,-0.00730868214615521
Frontal_Sup_Orb_L <=> Caudate_L,-0.007219357817613492
Cingulum_Post_R <=> Cerebelum_7b_R,-0.007121404854566337
Angular_R <=> Cerebelum_7b_R,-0.007037138191300141
Cingulum_Ant_L <=> Heschl_R,-0.007036440778593156
Cerebelum_8_R <=> Cerebelum_10_L,-0.007018712657033177
Occipital_Mid_L <=> Postcentral_L,-0.006879159472416574
Insula_L <=> Vermis_7,-0.006415638521082978
Frontal_Mid_R <=> Amygdala_L,-0.006357626294096685
Hippocampus_R <=> Parietal_Inf_R,-0.006239476758634366
Paracentral_Lobule_R <=> Thalamus_R,-0.006035851870115616
Thalamus_L <=> Cerebelum_7b_R,-0.005914533710895164
Fusiform_L <=> Cerebelum_8_L,-0.0058932945975233245
Frontal_Sup_L <=> Fusiform_L,-0.005619275121049561
Precentral_R <=> Vermis_7,-0.005545594874101556
Paracentral_Lobule_R <=> Temporal_Inf_R,-0.005423284288738106
Olfactory_R <=> Putamen_L,-0.005381886007564107
Parietal_Sup_L <=> Vermis_9,-0.005224226741218541
Occipital_Inf_L <=> Cerebelum_4_5_L,-0.0050099904383061
Frontal_Mid_Orb_R <=> Frontal_Sup_Medial_L,-0.005005259260416617
Olfactory_R <=> Amygdala_L,-0.004651032046982672
Frontal_Sup_R <=> Occipital_Inf_L,-0.00458210619764392
Frontal_Inf_Oper_R <=> Temporal_Pole_Sup_L,-0.0044104249129267355
Cerebelum_Crus1_R <=> Cerebelum_4_5_R,-0.0043581377118884655
Frontal_Med_Orb_L <=> Caudate_L,-0.004309021489607634
Angular_R <=> Temporal_Sup_L,-0.004297460361623684
Cuneus_L <=> Paracentral_Lobule_R,-0.004255925363736068
Cingulum_Mid_L <=> Lingual_R,-0.0036547744476197685
Postcentral_L <=> Temporal_Inf_R,-0.0036479602508069585
Frontal_Inf_Tri_R <=> Paracentral_Lobule_R,-0.0036431006034329805
Precentral_L <=> Vermis_4_5,-0.003503078654123315
Frontal_Inf_Oper_L <=> Parietal_Sup_R,-0.003470646493254548
Cingulum_Ant_L <=> Hippocampus_R,-0.003450162296767112
Postcentral_R <=> Parietal_Inf_R,-0.0033772070215009496
Amygdala_R <=> Occipital_Inf_L,-0.0031422029140332876
Heschl_R <=> Vermis_9,-0.0031256602496105624
Amygdala_R <=> Temporal_Pole_Sup_R,-0.0030924336136863182
Rectus_R <=> Putamen_R,-0.0030807204814545354
Frontal_Mid_L <=> Occipital_Mid_L,-0.0030413167946297115
Temporal_Pole_Mid_L <=> Vermis_7,-0.0030071934569426474
Paracentral_Lobule_R <=> Vermis_4_5,-0.0029400134409648835
SupraMarginal_L <=> Temporal_Inf_R,-0.0027481799821800212
Frontal_Inf_Oper_R <=> Cerebelum_6_R,-0.0027299562564126133
Frontal_Sup_L <=> Cerebelum_Crus2_L,-0.0025304717168666223
Frontal_Sup_R <=> Frontal_Inf_Oper_R,-0.0025062451850900837
Frontal_Mid_Orb_L <=> Cingulum_Mid_L,-0.0025005963174317804
Frontal_Inf_Oper_L <=> Frontal_Sup_Medial_R,-0.002446343599510836
