feature,mean_importance
Postcentral_L <=> Paracentral_Lobule_L,-4.256152459592644
Occipital_Sup_L <=> Occipital_Mid_L,-3.82934209854553
Cuneus_L <=> Occipital_Mid_L,-3.8260428335730383
Fusiform_R <=> Vermis_8,-3.652469166196286
Cuneus_R <=> Occipital_Mid_L,-3.6007196610663015
Calcarine_L <=> Occipital_Mid_L,-3.577485430485629
Occipital_Mid_L <=> Cerebelum_8_L,-3.541432721362585
Lingual_R <=> Cerebelum_4_5_R,-3.2525651077138833
Calcarine_L <=> Fusiform_R,-3.230206744518725
Precentral_R <=> Occipital_Sup_R,-3.224389593126401
Lingual_L <=> Fusiform_L,-3.1897427359774584
Calcarine_L <=> Fusiform_L,-3.175323176186734
Cerebelum_6_L <=> Cerebelum_6_R,-3.1627648309172
Occipital_Inf_L <=> Fusiform_L,-2.909463545830954
Cuneus_L <=> Postcentral_L,-2.8426701828578245
Occipital_Inf_L <=> Temporal_Sup_L,-2.8137055243383573
Precentral_L <=> Temporal_Inf_L,-2.8072171440799307
Cuneus_L <=> Paracentral_Lobule_L,-2.801797970389353
Parietal_Sup_L <=> Cerebelum_8_R,-2.795490865298672
Cerebelum_4_5_R <=> Vermis_8,-2.7696657981591413
Lingual_L <=> Cerebelum_4_5_R,-2.75240335619863
Precentral_L <=> Parietal_Inf_L,-2.711015774032947
Cuneus_L <=> Fusiform_R,-2.7077889827191965
Calcarine_R <=> Occipital_Mid_L,-2.7063259642774655
Calcarine_L <=> Temporal_Inf_R,-2.6631317253810662
Postcentral_L <=> Parietal_Inf_L,-2.653704148665523
Occipital_Mid_L <=> Precuneus_L,-2.636576411529282
Fusiform_R <=> Vermis_7,-2.634121369685667
Cerebelum_4_5_R <=> Vermis_9,-2.6307114457973966
Occipital_Inf_R <=> Cerebelum_6_R,-2.627401980742897
Occipital_Inf_L <=> Cerebelum_8_L,-2.62539402605091
Precentral_R <=> Paracentral_Lobule_L,-2.6246545892172803
Precentral_L <=> Occipital_Sup_R,-2.621259930335893
Temporal_Mid_L <=> Temporal_Pole_Mid_L,-2.6195549979079376
Calcarine_L <=> Occipital_Inf_L,-2.60082615420759
Occipital_Mid_L <=> Cerebelum_6_R,-2.590175184210511
Precentral_L <=> Cuneus_L,-2.586943919877817
Postcentral_L <=> Parietal_Sup_L,-2.585744376653511
Vermis_8 <=> Vermis_9,-2.5792176429146507
Lingual_L <=> Cerebelum_4_5_L,-2.566072810239129
Cerebelum_6_R <=> Vermis_8,-2.558922009974384
