feature,mean_importance
Postcentral_R <=> Cerebelum_6_R,-0.017002996725405683
Frontal_Inf_Oper_L <=> Parietal_Sup_L,-0.014026375086976461
Hippocampus_L <=> Putamen_L,-0.011629603056831295
Paracentral_Lobule_R <=> Vermis_9,-0.010766123095412273
Cingulum_Post_R <=> Fusiform_R,-0.009232646604797879
Occipital_Sup_R <=> Vermis_9,-0.007506477821715896
Precentral_L <=> Frontal_Inf_Oper_R,-0.0065467062304388705
Postcentral_R <=> Cerebelum_9_R,-0.0060559393189861584
Frontal_Mid_R <=> Pallidum_L,-0.005950750029571595
Paracentral_Lobule_R <=> Vermis_10,-0.00577609287533134
Frontal_Inf_Tri_L <=> Parietal_Sup_L,-0.005560223690924282
Precentral_R <=> Frontal_Inf_Tri_L,-0.005551926816779229
Frontal_Mid_Orb_L <=> Parietal_Inf_R,-0.005186127505821281
Frontal_Inf_Tri_L <=> Parietal_Sup_R,-0.004764607586137393
Cerebelum_3_L <=> Vermis_4_5,-0.004651116343032324
Angular_R <=> Temporal_Inf_R,-0.004527010321956393
Cingulum_Ant_R <=> Cerebelum_8_R,-0.004267213596436159
Supp_Motor_Area_L <=> Paracentral_Lobule_R,-0.00410551042110332
Postcentral_R <=> Vermis_7,-0.0035596856268480526
Paracentral_Lobule_L <=> Temporal_Inf_R,-0.0035475863101842365
Angular_R <=> Temporal_Pole_Mid_L,-0.003334968071794364
Cingulum_Post_R <=> Temporal_Pole_Mid_L,-0.003322851649477565
Parietal_Inf_R <=> Temporal_Inf_L,-0.0033087437657604024
Lingual_L <=> Cerebelum_3_R,-0.003299457016259355
Olfactory_R <=> Pallidum_L,-0.003174850906428617
Angular_L <=> Angular_R,-0.0030742680836190585
Cerebelum_Crus2_R <=> Cerebelum_4_5_L,-0.002972662416160343
Insula_L <=> Temporal_Mid_R,-0.002963448672035307
Fusiform_L <=> Cerebelum_3_R,-0.0028921227338984503
Olfactory_R <=> Caudate_R,-0.002881904036356486
Frontal_Sup_R <=> Vermis_3,-0.0028550662226071834
Rolandic_Oper_L <=> Postcentral_L,-0.0028528263403434285
Postcentral_L <=> Thalamus_R,-0.002795055274508451
Cingulum_Post_L <=> Calcarine_R,-0.002741324000963985
Insula_R <=> Cerebelum_9_L,-0.00270509289008154
Postcentral_R <=> Caudate_L,-0.002630373126606411
ParaHippocampal_R <=> Cerebelum_9_L,-0.0026222616897120686
Olfactory_R <=> ParaHippocampal_R,-0.0024722991835171458
Postcentral_L <=> Cerebelum_8_R,-0.002445746070556609
Postcentral_R <=> Thalamus_L,-0.0024424881824948396
Frontal_Med_Orb_R <=> Temporal_Mid_R,-0.002412398696387985
Heschl_L <=> Cerebelum_9_L,-0.002390901798996925
Frontal_Mid_Orb_R <=> Cuneus_R,-0.0023842046539348074
Frontal_Inf_Oper_L <=> Paracentral_Lobule_R,-0.002340071618309558
Temporal_Pole_Mid_R <=> Vermis_10,-0.002337684725763722
Parietal_Inf_L <=> Cerebelum_3_R,-0.002307465148433119
Precentral_L <=> Frontal_Inf_Oper_L,-0.0021784890548742107
Parietal_Sup_R <=> Angular_L,-0.0021381372309301925
Rolandic_Oper_L <=> SupraMarginal_L,-0.0021380866415975585
Frontal_Sup_Orb_R <=> Frontal_Sup_Medial_L,-0.0020681272157998974
Precentral_R <=> Occipital_Inf_R,-0.002038995180718972
Calcarine_R <=> Temporal_Pole_Mid_L,-0.0020194143103657415
Rectus_R <=> Angular_R,-0.001984827728687533
Hippocampus_R <=> Occipital_Inf_L,-0.0019807407017495837
ParaHippocampal_L <=> Cerebelum_3_L,-0.0019679377244149697
Frontal_Mid_R <=> Parietal_Sup_R,-0.0018805037740952546
Rolandic_Oper_R <=> Temporal_Pole_Sup_R,-0.0018729891020323741
Olfactory_R <=> Occipital_Sup_L,-0.0018407027600877424
Postcentral_L <=> Cerebelum_3_R,-0.001668961480021558
Supp_Motor_Area_R <=> Thalamus_L,-0.0016512686177871938
Lingual_R <=> Angular_L,-0.001584924644196839
Fusiform_L <=> Cerebelum_4_5_L,-0.0015717940433941813
Olfactory_R <=> Cingulum_Mid_L,-0.0015703579343472108
Frontal_Sup_Medial_L <=> Temporal_Pole_Mid_L,-0.0014979459459784738
Angular_R <=> Temporal_Pole_Sup_R,-0.0014852120213383556
Parietal_Inf_R <=> Paracentral_Lobule_L,-0.0014774074178616648
Precentral_R <=> Thalamus_R,-0.0014685538636169504
Temporal_Inf_R <=> Cerebelum_10_L,-0.0014275367619494884
Insula_L <=> Caudate_R,-0.0014028081427113648
Postcentral_R <=> Vermis_10,-0.0013881955341920715
Cingulum_Post_L <=> Fusiform_R,-0.0013862347316310419
Lingual_R <=> Temporal_Pole_Mid_L,-0.001331115231917801
Postcentral_L <=> Parietal_Sup_L,-0.0013084714933579988
Parietal_Inf_R <=> Temporal_Mid_R,-0.001231497760954836
Precuneus_L <=> Cerebelum_10_L,-0.0010709186844011676
Frontal_Mid_R <=> Postcentral_R,-0.0010290148744307003
Frontal_Mid_Orb_R <=> Fusiform_R,-0.0009288381906239262
Caudate_L <=> Cerebelum_6_L,-0.0009225410855353555
Frontal_Mid_Orb_R <=> Temporal_Mid_R,-0.0009025429591682065
Cerebelum_Crus2_R <=> Cerebelum_3_L,-0.0008715164989641089
Parietal_Inf_R <=> Paracentral_Lobule_R,-0.0008587184518364932
Supp_Motor_Area_R <=> Thalamus_R,-0.0007851230095475171
